i = 0:  132.00 23.00 
i = 1:  207.00 9.00 
i = 2:  115.00 35.00 
i = 3:  164.00 13.50 
i = 4:  130.00 33.00 
i = 5:  169.00 11.50 
i = 6:  174.00 7.50 
i = 7:  154.00 11.00 
i = 8:  130.00 29.00 
i = 9:  151.00 22.50 
i = 10:  207.00 7.00 
i = 11:  108.00 25.00 
i = 12:  148.00 13.50 
i = 13:  166.00 9.00 
i = 14:  128.00 13.00 
i = 15:  211.00 3.00 
i = 16:  163.00 7.50 
i = 17:  114.00 23.00 
i = 18:  187.00 7.00 
i = 19:  108.00 13.00 
i = 20:  151.00 11.00 
i = 21:  195.00 5.00 
i = 22:  207.00 4.50 
i = 23:  134.00 11.00 
i = 24:  155.00 9.50 
i = 25:  145.00 10.50 
i = 26:  122.00 9.00 
i = 27:  182.00 3.50 
i = 28:  118.00 9.00 
i = 29:  180.00 3.50 
i = 30:  176.00 5.50 
i = 31:  102.00 13.00 
i = 32:  100.00 15.50 
i = 33:  162.00 7.50 
i = 34:  147.00 7.50 
i = 35:  176.00 3.50 
i = 36:  165.00 7.00 
i = 37:  199.00 3.00 
i = 38:  127.00 7.50 
i = 39:  98.00 13.50 
i = 40:  189.00 1.50 
i = 41:  126.00 7.50 
i = 42:  101.00 13.00 
i = 43:  177.00 3.00 
i = 0:124.00 1.00 
k1 = 1 k = 44
all = 0 k1 = 1
c = 0.00
