i = 0:  147.00 36.50 
i = 1:  175.00 7.00 
i = 2:  170.00 16.50 
i = 3:  155.00 17.00 
i = 4:  140.00 25.50 
i = 5:  219.00 6.50 
i = 6:  120.00 29.00 
i = 7:  139.00 21.00 
i = 8:  153.00 13.50 
i = 9:  205.00 6.50 
i = 10:  174.00 11.00 
i = 11:  144.00 19.00 
i = 12:  191.00 3.50 
i = 13:  163.00 12.50 
i = 14:  148.00 14.50 
i = 15:  107.00 25.00 
i = 16:  188.00 5.50 
i = 17:  155.00 13.00 
i = 18:  123.00 11.00 
i = 19:  187.00 1.50 
i = 20:  170.00 10.50 
i = 21:  109.00 15.00 
i = 22:  140.00 10.50 
i = 23:  166.00 7.00 
i = 24:  143.00 9.00 
i = 25:  122.00 13.00 
i = 26:  107.00 15.50 
i = 27:  105.00 25.00 
i = 28:  101.00 19.50 
i = 29:  186.00 5.50 
i = 30:  177.00 3.00 
i = 31:  112.00 13.00 
i = 32:  122.00 9.00 
i = 33:  118.00 9.00 
i = 34:  163.00 8.50 
i = 35:  102.00 13.00 
i = 36:  100.00 13.00 
i = 37:  149.00 7.50 
i = 38:  165.00 7.00 
i = 0:124.00 1.00 
k1 = 1 k = 39
all = 0 k1 = 1
c = 0.00
